trip_number,location,next_location,dropoff_series,dropoff_status,vehicle_plate_no,month,day
7300111384,8330 BCFG GMA MEGA DC,SANFORD MARKETING - SAN ANDRES,1,Scheduled,AVA 3336,11,14
7300111427,8174 BCFG DC Pinagbuhatan,"FISHER RETAIL, INC. - MALABON",1,Scheduled,NBT 2297,11,13
7300111428,8174 BCFG DC Pinagbuhatan,"FISHER RETAIL, INC. - QUEZON AVE.",1,Scheduled,AWA3755,11,13
7300111430,8174 BCFG DC Pinagbuhatan,KAREILA MANAGEMENT - CONGRESSIONAL,1,Scheduled,AWA 7483,11,10
7300111470,8174 BCFG DC Pinagbuhatan,LIANA'S SUPERMARKET - PASIG,1,Completed,THH 460,11,13
7300111471,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - CALOOCAN (SAM,1,Completed,CAH3762,11,12
7300111480,8174 BCFG DC Pinagbuhatan,ULTRA MEGA MULTI SALES ALABANG MUNT,1,Scheduled,NAD 5355,11,13
7300111482,8174 BCFG DC Pinagbuhatan,ULTRA MEGA MULTI SALES ANTIPOLO,1,Scheduled,RLD 738,11,13
7300111490,8174 BCFG DC Pinagbuhatan,"ULTRA MEGA MULTI SALES TONDO, MANIL",1,Completed,ABC 7418,11,13
7300111500,8174 BCFG DC Pinagbuhatan,LAWSON PHILIPPINES - TAGUIG,1,Scheduled,CAZ7915,11,13
7300111653,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - AMORANTO,1,Scheduled,TJQ 712,11,7
7300111668,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - KAMUNING,1,Scheduled,TJQ 712,11,7
7300111692,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - LAKEVIEW,1,Scheduled,TJQ 712,10,21
7300111700,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - MOONWALK,1,Scheduled,TJQ 712,10,21
7300111702,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - PASAY,1,Scheduled,TJQ 712,11,7
7300111703,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - SOLDIER HILLS,1,Scheduled,TJQ 712,10,21
7300111709,8070 BCFG Calamba,"KM 6 H/W, F/S & GEN. MDSE. - BAGUIO",1,Scheduled,NAY4794,11,9
7300111736,8070 BCFG Calamba,"KM 6 H/W, F/S & GEN. MDSE. - LA UNI",1,Scheduled,CAL4555,10,13
7300111757,8070 BCFG Calamba,"MATRIX MASTER MKTG., INC. - LOWER L",1,Completed,CAH 3298,11,18
7300111762,8080 BCFG Canlubang,MAKOBOBI DISTRIBUTORS - GEN TINIO,1,Scheduled,MUT 4787,11,12
7300112283,8420 South Mega DC,ELRY CONSUMER GOODS TRADING,1,Scheduled,CBJ6191,11,10
7300112292,8330 BCFG GMA MEGA DC,8030 BCFG Bagong Ilog,1,Completed,CCO6660,11,11
7300112324,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,1,Scheduled,CAA4792,11,5
7300112326,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.- PARTID,1,Scheduled,APA 5827,11,10
7300112327,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.-DAET,1,Scheduled,TRE S2121,11,18
7300112360,8070 BCFG Calamba,8410 North Mega DC,1,Scheduled,ACJ 0705,11,14
7300112503,8420 South Mega DC,SANFORD MARKETING - ALAPAN,1,Completed,RJH523,11,14
7300112529,8420 South Mega DC,SANFORD MARKETING - AMADEO CAVITE,1,Scheduled,CO4131,11,14
7300112549,8070 BCFG Calamba,8110 BCFG Cavite,1,Scheduled,SPC 9033,11,11
7300112550,8420 South Mega DC,SANFORD MARKETING - BACOOR,1,Scheduled,AWA4353,11,14
7300112564,8420 South Mega DC,SANFORD MARKETING - BATANGAS DEPOT,1,Scheduled,ACO 2549,11,14
7300112565,8330 BCFG GMA MEGA DC,SUPERVALUE - STA. MESA,1,Scheduled,ABD 1232,11,13
7300112567,8080 BCFG Canlubang,HEALTHYFOOD AND SNACKS DIST - GEN T,1,Scheduled,AC8 327,11,12
7300112571,8420 South Mega DC,"SANFORD MARKETING - KAWIT, CAVITE",1,Scheduled,MV904010,11,14
7300112573,8080 BCFG Canlubang,HEALTHYFOOD AND SNACKS DIST - IMUS,1,Scheduled,RLC 396,11,5
7300112578,8080 BCFG Canlubang,"FINEST TRADE MKTNG., INC",1,Scheduled,RLH 298,10,31
7300112579,8420 South Mega DC,SANFORD MARKETING - LUCENA DEPOT,1,Scheduled,CO4132,11,14
7300112581,8420 South Mega DC,SANFORD MARKETING - MERIDIAN TAGAYT,1,Completed,NCK 5048,11,14
7300112583,8420 South Mega DC,SANFORD MARKETING - PALIPARAN,1,Scheduled,ACL1568,11,14
7300112587,8420 South Mega DC,SANFORD MARKETING - SALITRAN,1,Scheduled,CAR 1618,11,14
7300112597,8420 South Mega DC,SANFORD MARKETING - TAGAYTAY,1,Scheduled,MV474200,11,14
7300112607,8420 South Mega DC,SANFORD MARKETING - XENTRO BATANGAS,1,Scheduled,ACL2001,11,14
7300112610,8420 South Mega DC,SANFORD MARKETING-LINX MARKET BUCAN,1,Scheduled,MV474216,11,14
7300112614,8420 South Mega DC,SAVEMORE - GMA PORTAL,1,Scheduled,AVA5104,11,14
7300112616,8420 South Mega DC,SAVEMORE - NASUGBU,1,Scheduled,B7R463,11,14
7300112620,8420 South Mega DC,SAVEMORE - SALAWAG,1,Scheduled,CAK 4116,11,14
7300112623,8420 South Mega DC,SUPER SM - BATANGAS DEPOT,1,Scheduled,ACO 2549,11,14
7300112625,8420 South Mega DC,SUPERVALUE - BACOOR,1,Scheduled,CAF 7842,11,14
7300112632,8420 South Mega DC,MAINSTREAM BUSINESS INC. - SM BACOO,1,Scheduled,NEG4288,11,14
7300112645,8420 South Mega DC,SUPERVALUE - BATANGAS,1,Scheduled,CXS 569,11,14
7300112648,8080 BCFG Canlubang,"KM 6 H/W, F/S & GEN. MDSE. - LA UNI",1,Scheduled,WIV334,11,9
7300112652,8420 South Mega DC,MADISON SHOPPING PLAZA - SM BATANGA,1,Scheduled,CXS 560,11,14
7300112660,8420 South Mega DC,SUPERVALUE - DASMARINAS,1,Scheduled,MPK 3422,11,14
7300112679,8420 South Mega DC,SUPERVALUE - IMUS,1,Scheduled,NCK 8005,11,14
7300112742,8080 BCFG Canlubang,TASK FORCE MARKETING INC.,1,Scheduled,CAF4111,11,5
7300112750,8110 BCFG Cavite,"DRM INTEGRAL DISTRIBUTORS, INC.",1,Scheduled,CAF6562,11,17
7300112752,8110 BCFG Cavite,"FINEST TRADE MKTNG., INC",1,Scheduled,RLG 415,10,31
7300112766,8110 BCFG Cavite,OCAMPO'S MARKETING INC.-SAN MIGUEL,1,Scheduled,CAL4552,11,11
7300112782,8330 BCFG GMA MEGA DC,SANFORD MARKETING - DEPOT ARANETA,1,Scheduled,NAU 3064,11,14
7300112793,8050 BCFG Pampanga,DMAYA PLUS ENTERPRISES-BAYOMBONG,1,Scheduled,BVU245,11,12
7300112797,8050 BCFG Pampanga,LAOAG SOLID 8 - CANDON,1,Scheduled,CAR2704,11,7
7300112803,8050 BCFG Pampanga,SALESFORCE ONE MKTG INC. -SAN JOSE2,1,Scheduled,1801000000,11,11
7300112845,8050 BCFG Pampanga,MAKOBOBI  DISTRIBUTORS - BALER,1,Scheduled,MUT 7204,11,14
7300112846,8330 BCFG GMA MEGA DC,SUPERVALUE - MAKATI,1,Scheduled,NBL 6471,11,14
7300112859,8174 BCFG DC Pinagbuhatan,SOUTH SUPERMARKET - VALENZUELA,1,Scheduled,RLC 232,11,13
7300112860,8174 BCFG DC Pinagbuhatan,SOUTH SUPERMARKET - PASIG,1,Scheduled,UVV556,11,13
7300112870,8174 BCFG DC Pinagbuhatan,ULTRAMEGA MULTI SALES - BAGONG SILA,1,Completed,UGB 720,11,13
7300112899,8330 BCFG GMA MEGA DC,8020 BCFG MCD,1,Completed,ABB5231,11,12
7300112900,8174 BCFG DC Pinagbuhatan,CEBU PACIFIC AIR,1,Completed,ABD 1149,11,12
7300112934,8330 BCFG GMA MEGA DC,8070 BCFG Calamba,1,Scheduled,CCO6660,11,13
7300113240,8420 South Mega DC,8160 BCFG Binan,1,Completed,JAD 6999,11,12
7300113263,8420 South Mega DC,SUPERVALUE - LUCENA DEPOT,1,Scheduled,CO4150,11,14
7300113313,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - PANDACAN JR,1,Scheduled,AAT3953,11,14
7300113389,8420 South Mega DC,SUPERVALUE - BATANGAS DEPOT,1,Scheduled,ACO 2549,11,14
7300113403,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - VAL(1 SANTIAG,1,Completed,ZCY 905,11,14
7300113413,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - ZABARTE JR,1,Scheduled,ABC 7388,11,14
7300113417,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - BUSTILLOS JR.,1,Scheduled,RLD 738,11,14
7300113421,8174 BCFG DC Pinagbuhatan,10Q - SHAW,1,Completed,AAT 1654,11,14
