log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
8160 BCFG Binan,NA,NCK6816,NA,2021-01-04T12:54:41Z,NA,NA,"DHL,Gods Favor",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,ALA 7782,NA,2021-01-04T12:55:22Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,NCK 5613,NCK 5613,2021-01-04T12:55:30Z,2020-12-30T03:56:00Z,7300241634,"DHL,Kwinber Trucking",5d 8H 59M 30S,464370s (~5.37 days)
8420 South Mega DC,8420 South Mega DC,NBB 3332,NBB 3332,2021-01-04T12:55:48Z,2020-12-30T05:23:00Z,7300241714,"DHL,M.P. Kagaoan Ent. Inc.",5d 7H 32M 48S,459168s (~5.31 days)
8420 South Mega DC,NA,ACK5582,NA,2021-01-04T12:57:14Z,NA,NA,"DHL,M.P. Kagaoan Ent. Inc.",NA,NA
8410 North Mega DC,NA,MGE725,NA,2021-01-04T12:57:21Z,NA,NA,"DHL,ACP Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,ALA 7782,NA,2021-01-04T12:57:22Z,NA,NA,"DHL,Boyemma Trading",NA,NA
PH Lipa CPW FG - Source,NA,AWA7545,NA,2021-01-04T12:57:23Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Lipa CPW FG - Source,NA,AWA7545,NA,2021-01-04T12:58:21Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Pure Logistics Express Inc.,NA,UVM340,NA,2021-01-04T12:58:58Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,NA,NAG 4138,NA,2021-01-04T13:00:17Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
PH Lipa CPW FG - Source,NA,AWA7545,NA,2021-01-04T13:00:33Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8180 BCFG San Pedro 2,NA,CAF3424,NA,2021-01-04T13:00:41Z,NA,NA,"DHL,MDP Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,CAZ 1757,NA,2021-01-04T13:01:23Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAY 8454,CAY 8454,2021-01-04T13:01:31Z,2020-12-21T02:00:00Z,7300225843,"DHL,Express 23 Trucking",14d 11H 1M 31S,1249291s (~2.07 weeks)
8160 BCFG Binan,NA,NCK6816,NA,2021-01-04T13:02:46Z,NA,NA,"DHL,Gods Favor",NA,NA
PH Lipa CPW FG - Destination,NA,AWA7545,NA,2021-01-04T13:03:11Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,CAZ 1757,NA,2021-01-04T13:03:23Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8080 BCFG Canlubang,NA,RLH 298,NA,2021-01-04T13:03:49Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
Chowking - Jentec,NA,UVL598,NA,2021-01-04T13:04:14Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAN 7642,CAN 7642,2021-01-04T13:04:26Z,2020-12-21T02:00:00Z,7300225842,"DHL,Express 23 Trucking",14d 11H 4M 26S,1249466s (~2.07 weeks)
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T13:05:02Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -6H -51M -22S,-111082s (~-1.29 days)
8100 BCFG San Pedro,NA,CDK 4862,NA,2021-01-04T13:05:15Z,NA,NA,"DHL,SDO Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,BYM8503,NA,2021-01-04T13:05:58Z,NA,NA,"DHL,Boyemma Trading",NA,NA
PUREGOLD PRICE CLUB-SAN PEDRO ANGON,NA,CDK 4862,NA,2021-01-04T13:06:21Z,NA,NA,"DHL,SDO Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,AAT 2336,NA,2021-01-04T13:06:37Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,RLV994,RLV994,2021-01-04T13:06:51Z,2021-01-04T12:58:48Z,7300244256,"DHL,Green Line Trucking",8M 3S,483s (~8.05 minutes)
8050 BCFG Pampanga,NA,CAK 2622,NA,2021-01-04T13:07:25Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
8410 North Mega DC,NA,CAK 2622,NA,2021-01-04T13:07:25Z,NA,NA,"DHL,Arcilla Mover Trucking",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,BYM8503,NA,2021-01-04T13:09:11Z,NA,NA,"DHL,Boyemma Trading",NA,NA
PUREGOLD PRICE CLUB - SAN ISIDRO CA,NA,AAT 2336,NA,2021-01-04T13:10:24Z,NA,NA,"DHL,Boyemma Trading",NA,NA
Puregold Price Club - San Pedro,NA,WIF929,NA,2021-01-04T13:11:40Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8100 BCFG San Pedro,NA,WIF929,NA,2021-01-04T13:11:40Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,8420 South Mega DC,NAW 9644,NAW 9644,2021-01-04T13:11:48Z,2021-01-04T13:11:46Z,7300244293,"DHL,Bulldog Trucking Service",2S,2s
Puregold Price Club - San Pedro 2,NA,WIF929,NA,2021-01-04T13:11:56Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Puregold Price Club - San Pedro,NA,WIF929,NA,2021-01-04T13:14:10Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Puregold Price Club - San Pedro 2,NA,WIF929,NA,2021-01-04T13:14:10Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,CDK 4862,CDK 4862,2021-01-04T13:14:33Z,2020-12-10T09:00:00Z,7300243514,"DHL,SDO Trucking",25d 4H 14M 33S,2175273s (~3.6 weeks)
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,CDK 4862,CDK 4862,2021-01-04T13:14:33Z,2021-01-04T09:00:00Z,7300245341,"DHL,SDO Trucking",4H 14M 33S,15273s (~4.24 hours)
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,RLV994,RLV994,2021-01-04T13:18:01Z,2021-01-04T12:58:48Z,7300244256,"DHL,Green Line Trucking",19M 13S,1153s (~19.22 minutes)
8420 South Mega DC,NA,CAD 5676,NA,2021-01-04T13:20:27Z,NA,NA,"DHL,Iron Horse",NA,NA
NA,NA,RJC144,NA,2021-01-04T13:21:40Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T13:21:40Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -6H -34M -44S,-110084s (~-1.27 days)
8160 BCFG Binan,NA,NAW4816,NA,2021-01-04T13:22:02Z,NA,NA,"DHL,Gods Favor",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAN6139,CAN6139,2021-01-04T13:22:17Z,2020-12-29T02:00:00Z,7300240018,"DHL,MDP Trucking",6d 11H 22M 17S,559337s (~6.47 days)
Chowking - Jentec,NA,YJE918,NA,2021-01-04T13:22:42Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,8420 South Mega DC,CSK536,CSK536,2021-01-04T13:24:20Z,2020-12-29T00:44:00Z,7300239145,"ACJ Movers Trucking,DHL",6d 12H 40M 20S,564020s (~6.53 days)
NA,NA,RJC144,NA,2021-01-04T13:24:40Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T13:24:40Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -6H -31M -44S,-109904s (~-1.27 days)
PH Meycauayan Grocery - Destination,NA,RKL117,NA,2021-01-04T13:24:45Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Savemore - Malhacan,NA,RKL117,NA,2021-01-04T13:24:56Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Meycauayan Grocery - Destination,NA,WAQ887,NA,2021-01-04T13:24:59Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Savemore - Malhacan,NA,WAQ887,NA,2021-01-04T13:25:04Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
IMC - NBS/NDC,NA,RKL117,NA,2021-01-04T13:25:56Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAN6139,CAN6139,2021-01-04T13:25:57Z,2020-12-29T02:00:00Z,7300240018,"DHL,MDP Trucking",6d 11H 25M 57S,559557s (~6.48 days)
IMC - NBS/NDC,NA,WAQ887,NA,2021-01-04T13:26:12Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8060 BCFG Tarlac,NA,ACK3669,NA,2021-01-04T13:26:21Z,NA,NA,"DHL,Gods Favor",NA,NA
8060 BCFG Tarlac,NA,#030110,NA,2021-01-04T13:27:07Z,NA,NA,DHL,NA,NA
8060 BCFG Tarlac,NA,ABK7757,NA,2021-01-04T13:27:42Z,NA,NA,"DHL,Gods Favor",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,ABJ 9473,ABJ 9473,2021-01-04T13:27:46Z,2021-01-04T13:26:39Z,7300243738,"DHL,Grupo Marilen, Inc.",1M 7S,67s (~1.12 minutes)
8050 BCFG Pampanga,8050 BCFG Pampanga,ABJ 9473,ABJ 9473,2021-01-04T13:27:46Z,2021-01-05T01:17:00Z,7300245757,"DHL,Grupo Marilen, Inc.",-11H -49M -14S,-42554s (~-11.82 hours)
8410 North Mega DC,NA,ABJ 9473,NA,2021-01-04T13:27:46Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8070 BCFG Calamba,NA,WIV334,NA,2021-01-04T13:28:58Z,NA,NA,"DHL,Wide Area Logistics Solutions Inc.",NA,NA
8420 South Mega DC,8420 South Mega DC,CCO 1930,CCO 1930,2021-01-04T13:30:07Z,2020-12-04T06:39:00Z,7300174513,"DHL,Express 23 Trucking",31d 6H 51M 7S,2703067s (~4.47 weeks)
8420 South Mega DC,8420 South Mega DC,CCO 1930,CCO 1930,2021-01-04T13:30:07Z,2021-01-04T12:55:37Z,7300243627,"DHL,Express 23 Trucking",34M 30S,2070s (~34.5 minutes)
NA,NA,RJC144,NA,2021-01-04T13:30:54Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T13:30:54Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -6H -25M -30S,-109530s (~-1.27 days)
8070 BCFG Calamba,NA,CAA6847,NA,2021-01-04T13:31:31Z,NA,NA,"DHL,MDP Trucking",NA,NA
PH Batino Grocery - Source,NA,RKF516,NA,2021-01-04T13:31:53Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
PH Batino Grocery - Destination,NA,RKF516,NA,2021-01-04T13:31:53Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,8420 South Mega DC,NBG 3737,NBG 3737,2021-01-04T13:31:57Z,2020-12-26T11:20:00Z,7300235634,"DHL,Boyemma Trading",9d 2H 11M 57S,785517s (~1.3 weeks)
8420 South Mega DC,8420 South Mega DC,NBG 3737,NBG 3737,2021-01-04T13:31:57Z,2020-12-29T00:36:00Z,7300239144,"DHL,Boyemma Trading",6d 12H 55M 57S,564957s (~6.54 days)
8070 BCFG Calamba,NA,RKC 132,NA,2021-01-04T13:34:12Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8420 South Mega DC,NA,CAL9645,NA,2021-01-04T13:36:16Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
8070 BCFG Calamba,NA,ACJ9509,NA,2021-01-04T13:36:50Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8160 BCFG Binan,NA,NCK6816,NA,2021-01-04T13:36:55Z,NA,NA,"DHL,Gods Favor",NA,NA
8160 BCFG Binan,NA,NCK6816,NA,2021-01-04T13:37:05Z,NA,NA,"DHL,Gods Favor",NA,NA
8060 BCFG Tarlac,NA,CAC7865,NA,2021-01-04T13:37:14Z,NA,NA,"DHL,Van Van Trucking and Construction Supply",NA,NA
8330 BCFG GMA MEGA DC,NA,APA 4899,NA,2021-01-04T13:40:38Z,NA,NA,"DHL,Upright Carrier",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,ABA9892,ABA9892,2021-01-04T13:41:01Z,2020-12-30T03:56:00Z,7300241630,"DHL,Express 23 Trucking",5d 9H 45M 1S,467101s (~5.41 days)
8070 BCFG Calamba,NA,CAA6847,NA,2021-01-04T13:41:59Z,NA,NA,"DHL,MDP Trucking",NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,PNP 905,PNP 905,2021-01-04T13:42:22Z,2021-01-04T13:42:19Z,7300241950,"DHL,Kilometrico Inc.",3S,3s
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,PNP 905,PNP 905,2021-01-04T13:42:22Z,2021-01-03T06:47:00Z,7300242323,"DHL,Kilometrico Inc.",1d 6H 55M 22S,111322s (~1.29 days)
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,PNP 905,PNP 905,2021-01-04T13:42:22Z,2021-01-03T06:41:00Z,7300242684,"DHL,Kilometrico Inc.",1d 7H 1M 22S,111682s (~1.29 days)
8174 BCFG DC Pinagbuhatan,NA,ABC 7388,NA,2021-01-04T13:43:26Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,AAU 9430,AAU 9430,2021-01-04T13:45:54Z,2020-12-22T02:00:00Z,7300228242,"DHL,Boyemma Trading",13d 11H 45M 54S,1165554s (~1.93 weeks)
8160 BCFG Binan,NA,NCK6816,NA,2021-01-04T13:49:07Z,NA,NA,"DHL,Gods Favor",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAM 5128,CAM 5128,2021-01-04T13:51:34Z,2021-01-04T19:07:01Z,7300245219,"DHL,Express 23 Trucking",-5H -15M -27S,-18927s (~-5.26 hours)
8420 South Mega DC,NA,RKC 132,NA,2021-01-04T13:51:44Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8420 South Mega DC,8420 South Mega DC,IRS6471,IRS6471,2021-01-04T13:51:57Z,2021-01-04T10:44:00Z,7300244942,"DHL,Iron Horse",3H 7M 57S,11277s (~3.13 hours)
8180 BCFG San Pedro 2,NA,NAG 4138,NA,2021-01-04T13:54:02Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8180 BCFG San Pedro 2,NA,BYM 5972,NA,2021-01-04T13:54:15Z,NA,NA,"DHL,Boyemma Trading",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,AAU 9430,AAU 9430,2021-01-04T13:54:37Z,2020-12-22T02:00:00Z,7300228242,"DHL,Boyemma Trading",13d 11H 54M 37S,1166077s (~1.93 weeks)
8070 BCFG Calamba,8070 BCFG Calamba,AAU 9430,AAU 9430,2021-01-04T13:55:05Z,2020-12-22T02:00:00Z,7300228242,"DHL,Boyemma Trading",13d 11H 55M 5S,1166105s (~1.93 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NAU 3057,NAU 3057,2021-01-04T13:56:03Z,2020-12-28T10:14:00Z,7300238551,"DHL,Upright Carrier",7d 3H 42M 3S,618123s (~1.02 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NAU 3057,NAU 3057,2021-01-04T13:56:03Z,2020-12-28T10:19:00Z,7300238589,"DHL,Upright Carrier",7d 3H 37M 3S,617823s (~1.02 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NAU 3057,NAU 3057,2021-01-04T13:56:03Z,2020-12-28T10:21:00Z,7300238601,"DHL,Upright Carrier",7d 3H 35M 3S,617703s (~1.02 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NAU 3057,NAU 3057,2021-01-04T13:56:03Z,2020-12-28T11:17:00Z,7300238696,"DHL,Upright Carrier",7d 2H 39M 3S,614343s (~1.02 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NAU 3057,NAU 3057,2021-01-04T13:56:03Z,2021-01-04T01:44:00Z,7300243787,"DHL,Upright Carrier",12H 12M 3S,43923s (~12.2 hours)
8080 BCFG Canlubang,NA,AUA7959,NA,2021-01-04T13:56:58Z,NA,NA,DHL,NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CAM 5128,CAM 5128,2021-01-04T13:57:23Z,2021-01-04T19:07:01Z,7300245219,"DHL,Express 23 Trucking",-5H -9M -38S,-18578s (~-5.16 hours)
8330 BCFG GMA MEGA DC,NA,#292,NA,2021-01-04T13:57:39Z,NA,NA,DHL,NA,NA
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WQW260,WQW260,2021-01-04T13:59:43Z,2021-01-03T23:01:00Z,7300243554,"DHL,Gods Favor",14H 58M 43S,53923s (~14.98 hours)
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,WQW260,WQW260,2021-01-04T13:59:43Z,2021-01-04T12:56:11Z,7300244675,"DHL,Gods Favor",1H 3M 32S,3812s (~1.06 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NBB7160,NBB7160,2021-01-04T14:00:00Z,2020-12-27T23:01:00Z,7300238637,"DHL,Gods Favor",7d 14H 59M 0S,658740s (~1.09 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NBB7160,NBB7160,2021-01-04T14:00:00Z,2020-12-30T04:35:17Z,7300241614,"DHL,Gods Favor",5d 9H 24M 43S,465883s (~5.39 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NBB7160,NBB7160,2021-01-04T14:00:00Z,2020-12-30T06:30:00Z,7300241892,"DHL,Gods Favor",5d 7H 30M 0S,459000s (~5.31 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,NBB7160,NBB7160,2021-01-04T14:00:00Z,2020-12-30T06:31:00Z,7300241894,"DHL,Gods Favor",5d 7H 29M 0S,458940s (~5.31 days)
8180 BCFG San Pedro 2,NA,RKS 597,NA,2021-01-04T14:01:24Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8420 South Mega DC,NA,ACK1764,NA,2021-01-04T14:01:48Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
8020 BCFG MCD,NA,ACA4374,NA,2021-01-04T14:01:57Z,NA,NA,"DHL,Len-Mar Trucking Services",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO5374,CCO5374,2021-01-04T14:02:19Z,2020-12-29T23:01:00Z,7300241702,"DHL,Gods Favor",5d 15H 1M 19S,486079s (~5.63 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO5374,CCO5374,2021-01-04T14:02:19Z,2021-01-04T12:55:36Z,7300243725,"DHL,Gods Favor",1H 6M 43S,4003s (~1.11 hours)
8070 BCFG Calamba,8070 BCFG Calamba,CAM 5128,CAM 5128,2021-01-04T14:03:14Z,2021-01-04T19:07:01Z,7300245219,"DHL,Express 23 Trucking",-5H -3M -47S,-18227s (~-5.06 hours)
8070 BCFG Calamba,8070 BCFG Calamba,CAM 5128,CAM 5128,2021-01-04T14:03:26Z,2021-01-04T19:07:01Z,7300245219,"DHL,Express 23 Trucking",-5H -3M -35S,-18215s (~-5.06 hours)
PUREGOLD PRICE CLUB - A. BONIFACIO,NA,CCO6756,NA,2021-01-04T14:04:07Z,NA,NA,"DHL,Gods Favor",NA,NA
PUREGOLD PRICE CLUB - A. BONIFACIO,NA,NFZ3011,NA,2021-01-04T14:04:19Z,NA,NA,"DHL,Gods Favor",NA,NA
PUREGOLD PRICE CLUB - A. BONIFACIO,NA,CCO6756,NA,2021-01-04T14:06:08Z,NA,NA,"DHL,Gods Favor",NA,NA
8100 BCFG San Pedro,8100 BCFG San Pedro,WIV 483,WIV 483,2021-01-04T14:07:05Z,2021-01-05T02:13:18Z,7300245352,"DHL,SDO Trucking",-12H -6M -13S,-43573s (~-12.1 hours)
8110 BCFG Cavite,NA,CAE 6634,NA,2021-01-04T14:07:05Z,NA,NA,"DHL,Iron Horse",NA,NA
PUREGOLD PRICE CLUB - A. BONIFACIO,NA,NFZ3011,NA,2021-01-04T14:07:12Z,NA,NA,"DHL,Gods Favor",NA,NA
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,CDK 4862,CDK 4862,2021-01-04T14:09:29Z,2020-12-10T09:00:00Z,7300243514,"DHL,SDO Trucking",25d 5H 9M 29S,2178569s (~3.6 weeks)
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,CDK 4862,CDK 4862,2021-01-04T14:09:29Z,2021-01-04T09:00:00Z,7300245341,"DHL,SDO Trucking",5H 9M 29S,18569s (~5.16 hours)
8174 BCFG DC Pinagbuhatan,NA,ZPL 487,NA,2021-01-04T14:09:33Z,NA,NA,"DHL,DHL,EJE Trucking",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,AVY 670,AVY 670,2021-01-04T14:10:45Z,2021-01-04T03:59:00Z,7300244084,"DHL,Axle Freight Services",10H 11M 45S,36705s (~10.2 hours)
8410 North Mega DC,NA,AVY 670,NA,2021-01-04T14:10:45Z,NA,NA,"DHL,Axle Freight Services",NA,NA
NA,NA,RJC144,NA,2021-01-04T14:12:18Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T14:12:18Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -5H -44M -6S,-107046s (~-1.24 days)
8174 BCFG DC Pinagbuhatan,NA,UVV389,NA,2021-01-04T14:13:02Z,NA,NA,"DHL,RGE Transport",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,AVY 670,AVY 670,2021-01-04T14:14:11Z,2021-01-04T03:59:00Z,7300244084,"DHL,Axle Freight Services",10H 15M 11S,36911s (~10.25 hours)
8410 North Mega DC,NA,AVY 670,NA,2021-01-04T14:14:11Z,NA,NA,"DHL,Axle Freight Services",NA,NA
"PUREGOLD PRICE CLUB - C. RAYMUNDO,",NA,CCO5374,NA,2021-01-04T14:15:04Z,NA,NA,"DHL,Gods Favor",NA,NA
8110 BCFG Cavite,NA,CAH8419,NA,2021-01-04T14:18:06Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
PUREGOLD PRICE CLUB - MILLE LUCE JR,NA,ABC 7388,NA,2021-01-04T14:18:13Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
PUREGOLD PRICE CLUB - ANTIPOLO JR,NA,ABC 7388,NA,2021-01-04T14:18:13Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
PUREGOLD PRICE CLUB - SAN JOSE ANTI,NA,ABC 7388,NA,2021-01-04T14:18:13Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
PHILIPPINE SEVEN - PASIG,NA,CCO5374,NA,2021-01-04T14:20:09Z,NA,NA,"DHL,Gods Favor",NA,NA
"PUREGOLD PRICE CLUB - C. RAYMUNDO,",NA,CCO5374,NA,2021-01-04T14:20:09Z,NA,NA,"DHL,Gods Favor",NA,NA
ULTRA MEGA MULTI SALES - STO. TOMAS,NA,NBQ7983,NA,2021-01-04T14:20:18Z,NA,NA,"DHL,Wide Area Logistics Solutions Inc.",NA,NA
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,WIV 483,WIV 483,2021-01-04T14:20:33Z,2020-12-10T09:00:00Z,7300239571,"DHL,SDO Trucking",25d 5H 20M 33S,2179233s (~3.6 weeks)
8180 BCFG San Pedro 2,8180 BCFG San Pedro 2,WIV 483,WIV 483,2021-01-04T14:20:33Z,2021-01-04T09:00:00Z,7300245349,"DHL,SDO Trucking",5H 20M 33S,19233s (~5.34 hours)
8030 BCFG Bagong Ilog,NA,RHK 509,NA,2021-01-04T14:21:06Z,NA,NA,"DHL,ACTFAST Trucking Services",NA,NA
8050 BCFG Pampanga,NA,TXT 947,NA,2021-01-04T14:21:11Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8410 North Mega DC,NA,TXT 947,NA,2021-01-04T14:21:11Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8110 BCFG Cavite,NA,RLL203,NA,2021-01-04T14:21:12Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2021-01-04T14:21:44Z,2020-12-29T16:18:44Z,7300240014,"DHL,RGE Transport",5d 22H 3M 0S,511380s (~5.92 days)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2021-01-04T14:21:44Z,2020-12-30T06:56:04Z,7300241713,"DHL,RGE Transport",5d 7H 25M 40S,458740s (~5.31 days)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2021-01-04T14:21:44Z,2021-01-06T14:25:41Z,7300243938,"DHL,RGE Transport",-2d 0H -3M -57S,-173037s (~-2 days)
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,UVV628,UVV628,2021-01-04T14:21:44Z,2021-01-05T23:01:00Z,7300243940,"DHL,RGE Transport",-1d -8H -39M -16S,-117556s (~-1.36 days)
ULTRA MEGA MULTI SALES - STO. TOMAS,NA,NBQ7983,NA,2021-01-04T14:22:37Z,NA,NA,"DHL,Wide Area Logistics Solutions Inc.",NA,NA
NA,NA,RJC144,NA,2021-01-04T14:23:17Z,NA,NA,"DHL,Green Line Trucking",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,RJC144,RJC144,2021-01-04T14:23:17Z,2021-01-05T19:56:24Z,7300245055,"DHL,Green Line Trucking",-1d -5H -33M -7S,-106387s (~-1.23 days)
8080 BCFG Canlubang,NA,ABK 9024,NA,2021-01-04T14:23:36Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8050 BCFG Pampanga,NA,TXT 947,NA,2021-01-04T14:25:15Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8410 North Mega DC,NA,TXT 947,NA,2021-01-04T14:25:15Z,NA,NA,"DHL,Grupo Marilen, Inc.",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABB5231,NA,2021-01-04T14:25:27Z,NA,NA,"DHL,Gods Favor",NA,NA
8070 BCFG Calamba,NA,CAA6847,NA,2021-01-04T14:26:07Z,NA,NA,"DHL,MDP Trucking",NA,NA
8420 South Mega DC,NA,AUA7959,NA,2021-01-04T14:26:20Z,NA,NA,DHL,NA,NA
SUPER SM - MONUMENTO,NA,NBT 2297,NA,2021-01-04T14:27:14Z,NA,NA,"DHL,DHL,EJE Trucking",NA,NA
