log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
PUREGOLD PRICE CLUB - MEYCAUAYAN JR,NA,AVA 4020,NA,2020-12-29T17:00:58Z,NA,NA,"DHL,TGG Truckers",NA,NA
8174 BCFG DC Pinagbuhatan,NA,AAR1570,NA,2020-12-29T17:01:43Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAJ7517,NA,2020-12-29T17:02:02Z,NA,NA,"DHL,MDP Trucking",NA,NA
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,CCO9446,CCO9446,2020-12-29T17:03:30Z,2020-12-28T23:57:00Z,7300239090,"DHL,Gods Favor",17H 6M 30S,61590s (~17.11 hours)
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,CCO6756,CCO6756,2020-12-29T17:03:59Z,2020-12-27T09:00:00Z,7300238626,"DHL,Gods Favor",2d 8H 3M 59S,201839s (~2.34 days)
8174 BCFG DC Pinagbuhatan,8174 BCFG DC Pinagbuhatan,CCO6756,CCO6756,2020-12-29T17:03:59Z,2020-12-30T04:01:00Z,7300241648,"DHL,Gods Favor",-10H -57M -1S,-39421s (~-10.95 hours)
8420 South Mega DC,8420 South Mega DC,AUA 9788,AUA 9788,2020-12-29T17:04:14Z,2021-01-04T09:00:00Z,7300245198,"DHL,SPC Trucking",-5d -15H -55M -46S,-489346s (~-5.66 days)
8420 South Mega DC,8420 South Mega DC,AUA 9788,AUA 9788,2020-12-29T17:04:14Z,2021-01-05T06:40:43Z,7300246113,"DHL,SPC Trucking",-6d -13H -36M -29S,-567389s (~-6.57 days)
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:06:11Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABC 7388,NA,2020-12-29T17:07:41Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:08:44Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8070 BCFG Calamba,NA,AUB 1250,NA,2020-12-29T17:10:27Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AAR1493,AAR1493,2020-12-29T17:10:43Z,2020-12-28T03:30:00Z,7300237817,"DHL,Gods Favor",1d 13H 40M 43S,135643s (~1.57 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AAR1493,AAR1493,2020-12-29T17:10:43Z,2020-12-28T03:33:00Z,7300237834,"DHL,Gods Favor",1d 13H 37M 43S,135463s (~1.57 days)
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:11:35Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:13:58Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:16:44Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8180 BCFG San Pedro 2,NA,RMV 985,NA,2020-12-29T17:17:07Z,NA,NA,"DHL,Thoch Marketing",NA,NA
8070 BCFG Calamba,NA,CAJ 6289,NA,2020-12-29T17:18:50Z,NA,NA,"DHL,Express 23 Trucking",NA,NA
8420 South Mega DC,NA,RKE795,NA,2020-12-29T17:19:13Z,NA,NA,"DHL,Protege Logistics",NA,NA
8160 BCFG Binan,NA,RES 917,NA,2020-12-29T17:20:30Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8020 BCFG MCD,NA,WQW260,NA,2020-12-29T17:20:48Z,NA,NA,"DHL,Gods Favor",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T17:21:43Z,2020-12-28T23:01:00Z,7300239957,"DHL,Gods Favor",18H 20M 43S,66043s (~18.35 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T17:21:43Z,2020-12-28T23:01:00Z,7300240004,"DHL,Gods Favor",18H 20M 43S,66043s (~18.35 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T17:21:43Z,2020-12-30T04:39:27Z,7300241621,"DHL,Gods Favor",-11H -17M -44S,-40664s (~-11.3 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T17:21:43Z,2021-01-04T09:00:00Z,7300245103,"DHL,Gods Favor",-5d -15H -38M -17S,-488297s (~-5.65 days)
8330 BCFG GMA MEGA DC,NA,AUA9783,NA,2020-12-29T17:22:34Z,NA,NA,"DHL,SPC Trucking",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:22:49Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8100 BCFG San Pedro,NA,SPC9046,NA,2020-12-29T17:22:55Z,NA,NA,"DHL,SPC Trucking",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:23:48Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,BVU 114,BVU 114,2020-12-29T17:23:59Z,2020-12-29T04:58:00Z,7300239909,"DHL,DMaya One Logistics",12H 25M 59S,44759s (~12.43 hours)
8410 North Mega DC,8410 North Mega DC,BVU 114,BVU 114,2020-12-29T17:23:59Z,2021-01-04T05:20:00Z,7300244214,"DHL,DMaya One Logistics",-5d -11H -56M -1S,-474961s (~-5.5 days)
ROBINSONS SUPERMARKET - TALAVERA,NA,CAO6833,NA,2020-12-29T17:24:11Z,NA,NA,"DHL,M.G. Salvador Jr Trucking",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,BVU 223,BVU 223,2020-12-29T17:24:29Z,2021-01-04T16:36:08Z,7300244694,"DHL,DHL,DMaya One Logistics",-5d -23H -11M -39S,-515499s (~-5.97 days)
8410 North Mega DC,8410 North Mega DC,BVU 223,BVU 223,2020-12-29T17:24:29Z,2021-01-04T05:31:00Z,7300244244,"DHL,DHL,DMaya One Logistics",-5d -12H -6M -31S,-475591s (~-5.5 days)
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:27:17Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8330 BCFG GMA MEGA DC,NA,AUA9785,NA,2020-12-29T17:28:02Z,NA,NA,"DHL,SPC Trucking",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T17:29:17Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,BVU 114,BVU 114,2020-12-29T17:29:33Z,2020-12-29T04:58:00Z,7300239909,"DHL,DMaya One Logistics",12H 31M 33S,45093s (~12.53 hours)
8410 North Mega DC,8410 North Mega DC,BVU 114,BVU 114,2020-12-29T17:29:33Z,2021-01-04T05:20:00Z,7300244214,"DHL,DMaya One Logistics",-5d -11H -50M -27S,-474627s (~-5.49 days)
8420 South Mega DC,NA,AUA9787,NA,2020-12-29T17:29:36Z,NA,NA,"DHL,SPC Trucking",NA,NA
8050 BCFG Pampanga,8050 BCFG Pampanga,BVU 223,BVU 223,2020-12-29T17:29:36Z,2021-01-04T16:36:08Z,7300244694,"DHL,DHL,DMaya One Logistics",-5d -23H -6M -32S,-515192s (~-5.96 days)
8410 North Mega DC,8410 North Mega DC,BVU 223,BVU 223,2020-12-29T17:29:36Z,2021-01-04T05:31:00Z,7300244244,"DHL,DHL,DMaya One Logistics",-5d -12H -1M -24S,-475284s (~-5.5 days)
