trip_number,so_number,vehicle_plate_no,pickup_arrival,pickup_name,dropoff_arrival,dropoff_name
P300292185,NA,JM3166,2021-01-26T18:00:00Z,PH Tanauan - Source,2021-01-27T23:59:00Z,PH Meycauayan Grocery - Destination
P300289262,NA,NAR1498,2021-01-19T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-20T23:59:00Z,PH Batino Grocery - Destination
P300289276,NA,NAD6565,2021-01-21T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-22T23:59:00Z,PH Batino Grocery - Destination
P300284000,NA,NAR1498,2021-01-19T23:59:00Z,PH Lipa CPW FG - Source,2021-01-20T00:00:00Z,PH Meycauayan Grocery - Destination
P300289272,NA,NAD6565,2021-01-21T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-22T23:59:00Z,PH Batino Grocery - Destination
P300289278,NA,NBG3012,2021-01-22T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-23T23:59:00Z,PH Batino Grocery - Destination
P300288217,NA,JM3162,2021-01-22T23:00:00Z,PH Tanauan - Source,2021-01-24T00:00:00Z,PH Meycauayan Grocery - Destination
P300294088,4038325485,AAT4643,2021-01-28T09:00:00Z,PH Cagayan Grocery - Source,2021-01-28T23:00:00Z,Robinson's Supermarket - Cagayan de
P300293448,4037901454,ADC4767,2021-01-27T08:00:00Z,PH Cofipack - Source,2021-01-29T09:06:00Z,No. 1 Supplier Inc. - Dumaguete
P300291601,NA,NA,2021-01-27T17:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-28T23:59:00Z,PH Cagayan Grocery - Destination
P300291614,NA,NA,2021-01-29T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-29T09:59:00Z,PH Cagayan Grocery - Destination
P300291985,NA,NAI7060,2021-01-28T10:00:00Z,"PH RM Foods, Inc. - Source",2021-01-29T23:59:59Z,PH Batino Grocery - Destination
P300291621,NA,NA,2021-01-28T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-29T23:59:00Z,PH Cagayan Grocery - Destination
P300291628,NA,NA,2021-01-27T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-28T23:59:00Z,PH Cagayan Grocery - Destination
P300291986,NA,NA,2021-01-28T15:00:00Z,"PH RM Foods, Inc. - Source",2021-01-29T23:59:00Z,PH Batino Grocery - Destination
P300291987,NA,NA,2021-01-28T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-29T23:59:00Z,PH Batino Grocery - Destination
P300291988,NA,NA,2021-01-29T07:00:00Z,"PH RM Foods, Inc. - Source",2021-01-30T23:59:00Z,PH Batino Grocery - Destination
P300291989,NA,NA,2021-01-29T10:00:00Z,"PH RM Foods, Inc. - Source",2021-01-30T23:59:00Z,PH Batino Grocery - Destination
P300291893,NA,NAM6642,2021-01-27T17:00:00Z,PH NPI Lipa IFT - Source,2021-01-28T23:59:00Z,PH Meycauayan Grocery - Destination
P300287762,NA,137705,2021-01-28T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-22T23:59:00Z,PH Cagayan Grocery - Destination
P300284417,NA,UVQ414,2021-01-27T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-17T02:59:00Z,PH Cagayan Grocery - Destination
P300293052,NA,NA,2021-01-29T10:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-30T23:59:00Z,PH Cofipack - Destination
P300293058,NA,UVQ414,2021-01-28T14:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-29T23:59:00Z,PH Cofipack - Destination
P300292184,NA,NBG3012,2021-01-26T12:00:00Z,PH Tanauan - Source,2021-01-27T23:59:00Z,PH Meycauayan Grocery - Destination
P300294444,4038345865,KVX170,2021-01-29T12:00:00Z,PH Cagayan Grocery - Source,2021-02-01T07:00:00Z,Gaisano Grand - San Francisco
P300284438,NA,FWN742,2021-01-27T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T09:59:00Z,PH Cagayan Grocery - Destination
P300293873,4038146059,RLK700,2021-01-27T13:00:00Z,PH Cagayan Grocery - Source,2021-01-28T06:00:00Z,Save More - Kauswagan
P300294433,4038319518,KAD4602,2021-01-29T12:00:00Z,PH Cagayan Grocery - Source,2021-01-29T23:07:19Z,Robinson's Supermarket - Limketkai
P300276838,NA,UVQ414,2021-01-08T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-09T00:00:00Z,PH Cagayan Grocery - Destination
P300284440,NA,FWN742,2021-01-11T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-12T23:59:00Z,PH Cagayan Grocery - Destination
P300283840,NA,ANA8147,2021-01-12T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-13T23:59:00Z,PH Cofipack - Destination
P300284426,NA,NA,2021-01-12T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300284437,NA,ANA8147,2021-01-12T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-13T23:59:00Z,PH Cagayan Grocery - Destination
P300283837,NA,UVQ414,2021-01-11T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-12T23:59:00Z,PH Cofipack - Destination
P300284444,NA,UVQ414,2021-01-13T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300282871,NA,JM3012,2021-01-06T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-07T23:59:00Z,PH Cofipack - Destination
