plateno,geofence_name,first_timestamp,last_timestamp,time_duration_at_geofence,time_next
KAD4601,Puregold Price Club - Butuan,2021-01-04 05:21:50,2021-01-04 07:08:16,6386s (~1.77 hours),28304s (~7.86 hours)
NCE1173,No. 1 Supplier Inc. - Bacolod,2021-01-04 06:16:19,2021-01-04 07:16:33,3614s (~1 hours),322303s (~3.73 days)
130102,PH Tanauan - Destination,2021-01-04 06:49:49,2021-01-04 14:59:46,29397s (~8.17 hours),-29393s (~-8.16 hours)
130102,PH Tanauan - Source,2021-01-04 06:49:53,2021-01-04 14:24:29,27276s (~7.58 hours),1177s (~19.62 minutes)
KWA565,PH Mandaue Grocery - Destination,2021-01-04 07:02:02,2021-01-04 07:08:23,381s (~6.35 minutes),-381s (~-6.35 minutes)
KWA565,PH Mandaue Grocery - Source,2021-01-04 07:02:02,2021-01-04 15:29:20,30438s (~8.46 hours),236550s (~2.74 days)
JM0535,PH Bacolod - Mansilingan DC - Source,2021-01-04 07:07:17,2021-01-04 14:43:14,27357s (~7.6 hours),-27355s (~-7.6 hours)
JM0535,PH Bacolod - Mansilingan DC - Destination,2021-01-04 07:07:19,2021-01-04 14:43:14,27355s (~7.6 hours),31141s (~8.65 hours)
ADC4769,PH Cofipack - Destination,2021-01-04 07:30:41,2021-01-04 07:59:36,1735s (~28.92 minutes),-1735s (~-28.92 minutes)
ADC4769,PH Cofipack - Source,2021-01-04 07:30:41,2021-01-04 07:59:36,1735s (~28.92 minutes),69175s (~19.22 hours)
RJK963,PH Cagayan Grocery - Destination,2021-01-04 08:10:57,2021-01-04 10:14:15,7398s (~2.06 hours),-7398s (~-2.06 hours)
RJK963,PH Cagayan Grocery - Source,2021-01-04 08:10:57,2021-01-04 10:14:15,7398s (~2.06 hours),61011s (~16.95 hours)
KAD4602,PH Cagayan Grocery - Destination,2021-01-04 11:45:07,2021-01-04 21:48:44,36217s (~10.06 hours),-36157s (~-10.04 hours)
KAD4602,PH Cagayan Grocery - Source,2021-01-04 11:46:07,2021-01-04 21:48:44,36157s (~10.04 hours),9777s (~2.72 hours)
ABK4138,PH Cagayan Grocery - Destination,2021-01-04 12:49:05,2021-01-05 04:43:44,57279s (~15.91 hours),-57277s (~-15.91 hours)
ABK4138,PH Cagayan Grocery - Source,2021-01-04 12:49:07,2021-01-05 04:43:44,57277s (~15.91 hours),2002s (~33.37 minutes)
WQC386,PH Mandaue Grocery - Destination,2021-01-04 13:23:53,2021-01-04 21:24:29,28836s (~8.01 hours),-8376s (~-2.33 hours)
130102,PH Tanauan - Source,2021-01-04 14:44:06,2021-01-04 14:58:39,873s (~14.55 minutes),15489s (~4.3 hours)
KAD4601,PH Cagayan Grocery - Destination,2021-01-04 15:00:00,2021-01-04 20:29:35,19775s (~5.49 hours),-19775s (~-5.49 hours)
KAD4601,PH Cagayan Grocery - Source,2021-01-04 15:00:00,2021-01-04 20:29:35,19775s (~5.49 hours),25273s (~7.02 hours)
1301091079,IMC - NBS/NDC,2021-01-04 15:23:36,2021-01-04 18:20:38,10622s (~2.95 hours),-10577s (~-2.94 hours)
1301091079,PH Meycauayan Grocery - Destination,2021-01-04 15:24:21,2021-01-04 18:20:38,10577s (~2.94 hours),-10215s (~-2.84 hours)
1301091079,PH Meycauayan Grocery - Source,2021-01-04 15:30:23,2021-01-04 18:20:38,10215s (~2.84 hours),1499s (~24.98 minutes)
1301091079,"PH RM Foods, Inc. - Destination",2021-01-04 18:45:37,2021-01-05 00:54:30,22133s (~6.15 hours),-22133s (~-6.15 hours)
1301091079,"PH RM Foods, Inc. - Source",2021-01-04 18:45:37,2021-01-05 00:54:30,22133s (~6.15 hours),15433s (~4.29 hours)
WQC386,PH Mandaue Grocery - Source,2021-01-04 19:04:53,2021-01-04 21:24:29,8376s (~2.33 hours),408940s (~4.73 days)
130102,IMC - NBS/NDC,2021-01-04 19:16:48,2021-01-05 01:35:39,22731s (~6.31 hours),-22664s (~-6.3 hours)
130102,PH Meycauayan Grocery - Destination,2021-01-04 19:17:55,2021-01-05 01:29:47,22312s (~6.2 hours),-22294s (~-6.19 hours)
130102,PH Meycauayan Grocery - Source,2021-01-04 19:18:13,2021-01-05 01:29:47,22294s (~6.19 hours),2337s (~38.95 minutes)
KVU104,PSACC - Dadiangas CY 1,2021-01-04 21:40:21,2021-01-05 05:41:52,28891s (~8.03 hours),-28834s (~-8.01 hours)
KVU104,FDC - General Santos,2021-01-04 21:41:18,2021-01-05 08:17:44,38186s (~10.61 hours),115505s (~1.34 days)
KVX105,PH Mandaue Grocery - Destination,2021-01-04 22:04:20,2021-01-05 03:56:08,21108s (~5.86 hours),-15910s (~-4.42 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-04 23:22:15,2021-01-04 23:28:15,360s (~6 minutes),4368s (~1.21 hours)
KVX105,PH Mandaue Grocery - Source,2021-01-04 23:30:58,2021-01-05 00:37:49,4011s (~1.11 hours),3205s (~53.42 minutes)
KAD4602,Puregold Price Club - Cagayan De,2021-01-05 00:31:41,2021-01-05 02:39:14,7653s (~2.13 hours),37590s (~10.44 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-05 00:41:03,2021-01-05 01:53:43,4360s (~1.21 hours),2180s (~36.33 minutes)
JM0314,PH Cagayan Grocery - Destination,2021-01-05 01:20:20,2021-01-05 03:39:12,8332s (~2.31 hours),-8332s (~-2.31 hours)
JM0314,PH Cagayan Grocery - Source,2021-01-05 01:20:20,2021-01-05 03:39:12,8332s (~2.31 hours),4093s (~1.14 hours)
KVX105,PH Mandaue Grocery - Source,2021-01-05 01:31:14,2021-01-05 03:56:08,8694s (~2.42 hours),359703s (~4.16 days)
130102,"PH RM Foods, Inc. - Destination",2021-01-05 02:08:44,2021-01-05 13:10:09,39685s (~11.02 hours),-39685s (~-11.02 hours)
130102,"PH RM Foods, Inc. - Source",2021-01-05 02:08:44,2021-01-05 13:10:09,39685s (~11.02 hours),48280s (~13.41 hours)
JM0535,PH Bacolod - Mansilingan DC - Destination,2021-01-05 02:30:03,2021-01-05 02:59:03,1740s (~29 minutes),-1740s (~-29 minutes)
JM0535,PH Bacolod - Mansilingan DC - Source,2021-01-05 02:30:03,2021-01-05 02:59:03,1740s (~29 minutes),10312s (~2.86 hours)
RJK963,Ralav Corporation - Butuan,2021-01-05 03:11:06,2021-01-05 05:17:56,7610s (~2.11 hours),-7605s (~-2.11 hours)
RJK963,Puregold Price Club - Butuan,2021-01-05 03:11:11,2021-01-05 05:17:10,7559s (~2.1 hours),127992s (~1.48 days)
ADC4768,No. 1 Supplier Inc. - Bacolod,2021-01-05 03:12:15,2021-01-05 05:59:02,10007s (~2.78 hours),2453s (~40.88 minutes)
ADC4769,PH Cofipack - Destination,2021-01-05 03:12:31,2021-01-05 04:50:07,5856s (~1.63 hours),-5856s (~-1.63 hours)
ADC4769,PH Cofipack - Source,2021-01-05 03:12:31,2021-01-05 04:50:07,5856s (~1.63 hours),6385s (~1.77 hours)
